rank,cityId,displayName,country,region,cityType,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,overallWeightedCoverage,rankingStatus
73,pe-arequipa,Arequipa,Peru,Latin America,secondary,46.2,74.3,36.5,40.0,61.2,16.1,B,0.6,Ranked
73,pe-lima,Lima,Peru,Latin America,primary,46.2,74.3,36.5,40.0,61.2,16.1,B,0.6,Ranked
75,ph-cebu-city,Cebu City,Philippines,Southeast Asia,secondary,45.7,70.0,39.9,40.6,48.5,24.4,B,0.6,Ranked
75,ph-makati,Makati,Philippines,Southeast Asia,primary,45.7,70.0,39.9,40.6,48.5,24.4,B,0.6,Ranked
77,co-bogota,Bogota,Colombia,Latin America,primary,43.9,64.2,28.7,51.4,64.0,13.7,B,0.6,Ranked
77,co-medellin,Medellin,Colombia,Latin America,secondary,43.9,64.2,28.7,51.4,64.0,13.7,B,0.6,Ranked
79,in-bengaluru,Bengaluru,India,South Asia,primary,43.6,44.6,54.0,46.8,42.2,29.0,B,0.6,Ranked
79,in-hyderabad,Hyderabad,India,South Asia,primary,43.6,44.6,54.0,46.8,42.2,29.0,B,0.6,Ranked
79,in-pune,Pune,India,South Asia,primary,43.6,44.6,54.0,46.8,42.2,29.0,B,0.6,Ranked
82,mx-guadalajara,Guadalajara,Mexico,North America,secondary,42.0,66.0,14.6,50.6,68.5,14.3,B,0.6,Ranked
82,mx-merida,Merida,Mexico,North America,secondary,42.0,66.0,14.6,50.6,68.5,14.3,B,0.6,Ranked
82,mx-mexico-city,Mexico City,Mexico,North America,primary,42.0,66.0,14.6,50.6,68.5,14.3,B,0.6,Ranked
85,ke-nairobi,Nairobi,Kenya,Africa,primary,41.1,73.9,46.1,13.9,31.4,26.3,B,0.6,Ranked
86,lk-colombo,Colombo,Sri Lanka,South Asia,primary,37.8,51.7,42.3,36.0,32.2,21.2,B,0.6,Ranked
86,lk-kandy,Kandy,Sri Lanka,South Asia,secondary,37.8,51.7,42.3,36.0,32.2,21.2,B,0.6,Ranked
88,na-windhoek,Windhoek,Namibia,Africa,secondary,34.8,52.2,33.0,17.4,45.6,22.3,B,0.6,Ranked
89,za-cape-town,Cape Town,South Africa,Africa,primary,31.2,38.6,15.7,27.2,71.4,12.2,B,0.6,Ranked
89,za-johannesburg,Johannesburg,South Africa,Africa,primary,31.2,38.6,15.7,27.2,71.4,12.2,B,0.6,Ranked
91,pk-islamabad,Islamabad,Pakistan,South Asia,primary,30.6,60.6,34.4,19.3,14.7,10.8,B,0.6,Ranked
91,pk-karachi,Karachi,Pakistan,South Asia,primary,30.6,60.6,34.4,19.3,14.7,10.8,B,0.6,Ranked
91,pk-lahore,Lahore,Pakistan,South Asia,secondary,30.6,60.6,34.4,19.3,14.7,10.8,B,0.6,Ranked
